@relation mqp_features

@attribute dt numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute rx numeric
@attribute ry numeric
@attribute rz numeric
@attribute rw numeric

@data
1475604590784,0.958008,0.094603,-0.786764,0.017044,0.012783,0.008522,?,?,?,?
1475604590824.999936,0.93765,0.119751,-1.009501,-0.003196,0.007457,-0.005326,?,?,?,?
1475604590872.999936,0.950823,0.035925,-1.128054,-0.005326,0,-0.003196,?,?,?,?
1475604590910.000128,0.960403,0.046703,-1.143622,-0.005326,0.006392,-0.003196,?,?,?,?
1475604590937.999872,0.991538,0.082628,-1.003513,-0.001065,0.014914,-0.005326,?,?,?,?
1475604590996.999936,1.023871,0.091011,-1.119672,0.026632,0.019175,0.003196,?,?,?,?
1475604591000.999936,1.001118,0.05748,-0.95681,0.02024,0.023436,0.007457,?,?,?,?
1475604591015.000064,1.071771,0.055085,-0.95681,0.014914,0.026632,0.007457,?,?,?,?
1475604591096.999936,0.90891,0.164059,-0.797541,0.001065,0.013848,0.003196,?,?,?,?
1475604591107.000064,0.925675,0.053888,-1.026266,0.005326,0.008522,0.002131,?,?,?,?
1475604591280.999936,0.960403,0.020358,-1.047821,-0.005326,0,-0.004261,?,?,?,?
1475604591294.000128,0.985551,-0.029938,-1.219065,-0.005326,-0.008522,-0.003196,?,?,?,?
1475604591324,0.968785,0.154479,-0.962798,0.003196,-0.007457,0,?,?,?,?
1475604591352.999936,1.033451,-0.027543,-1.132844,0.002131,0.001065,0,?,?,?,?
1475604591383.000064,0.920885,-0.002395,-1.20709,0.005326,0,-0.002131,?,?,?,?
1475604591412.999936,0.962798,0.082628,-1.031056,0.027697,0.003196,0.006392,?,?,?,?
1475604591440.999936,1.063389,0.130529,-0.905317,0.028762,0.011718,0.018109,?,?,?,?
1475604591472.999936,1.026266,0.135319,-1.135239,0.017044,0.012783,0.008522,?,?,?,?
1475604591532,0.972378,0.106578,-0.992736,0.013848,-0.003196,0.006392,?,?,?,?
1475604591556.999936,1.046624,0.120948,-0.87538,-0.004261,-0.008522,0.013848,?,?,?,?
1475604591564.999936,1.068179,-0.045505,-1.003513,-0.036219,-0.011718,0.005326,?,?,?,?
1475604591600,0.914897,0.114961,-1.062191,-0.03835,-0.031958,0.006392,?,?,?,?
